,Total,Motor
0,2.83763221857977,2.83763221857977
1,2.3448168794452386,2.3448168794452386
2,2.067570919793115,2.067570919793115
3,2.1631808348313113,2.1631808348313113
4,2.111832985710258,2.111832985710258
5,2.076587245397079,2.076587245397079
6,2.132500616386268,2.132500616386268
7,2.0847964684067777,2.0847964684067777
8,2.10238232622427,2.10238232622427
9,2.063509238644248,2.063509238644248
10,2.105562563415157,2.105562563415157
11,2.004365642401491,2.004365642401491
12,2.0694827637521147,2.0694827637521147
13,2.130407636762736,2.130407636762736
14,2.0412303433227397,2.0412303433227397
