,Total-Test,Total-Params,Motor-Test,Motor-Params
0,3.00136783770687,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.01, 'hidden_units': [100, 50, 25]}",2.3829213126766122,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.01, 'hidden_units': [100, 50, 25]}"
1,2.904813623386464,"{'activations': ('relu', 'relu', 'relu'), 'lr': 0.01, 'hidden_units': [500, 400, 300]}",2.275873283591413,"{'activations': ('relu', 'relu', 'relu'), 'lr': 0.01, 'hidden_units': [500, 400, 300]}"
2,3.0270153419254386,"{'activations': ('relu', 'relu', 'relu'), 'lr': 0.01, 'hidden_units': [1000, 500, 250]}",2.346011460695307,"{'activations': ('relu', 'relu', 'relu'), 'lr': 0.01, 'hidden_units': [1000, 500, 250]}"
3,2.939288042266196,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.001, 'hidden_units': [500, 250, 100]}",2.3394877832674066,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.001, 'hidden_units': [500, 250, 100]}"
4,3.269380410522461,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.005, 'hidden_units': [50, 25, 10]}",2.5524579080797563,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.005, 'hidden_units': [50, 25, 10]}"
5,3.028664657327855,"{'activations': ('relu', 'sigmoid', 'sigmoid'), 'lr': 0.01, 'hidden_units': [16, 50, 10]}",2.499607834461618,"{'activations': ('relu', 'sigmoid', 'sigmoid'), 'lr': 0.01, 'hidden_units': [16, 50, 10]}"
6,3.1977906576875728,"{'activations': ('relu', 'relu', 'sigmoid'), 'lr': 0.001, 'hidden_units': [2000, 1000, 500]}",2.557510574687552,"{'activations': ('relu', 'relu', 'sigmoid'), 'lr': 0.001, 'hidden_units': [2000, 1000, 500]}"
7,3.005739912871016,"{'activations': ('relu', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.005, 'hidden_units': [300, 300, 200, 50]}",2.335469031530502,"{'activations': ('relu', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.005, 'hidden_units': [300, 300, 200, 50]}"
8,2.7691441587433507,"{'activations': ('relu', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.001, 'hidden_units': [500, 250, 100, 50]}",2.196813699843062,"{'activations': ('relu', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.001, 'hidden_units': [500, 250, 100, 50]}"
9,2.558226435479347,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.0005, 'hidden_units': [500, 400, 300, 200]}",2.0405935260396104,"{'activations': ('sigmoid', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.0005, 'hidden_units': [500, 400, 300, 200]}"
10,3.9222073944007394,"{'activations': ('relu', 'sigmoid'), 'lr': 0.005, 'hidden_units': [16, 100]}",3.0774572457515634,"{'activations': ('relu', 'sigmoid'), 'lr': 0.005, 'hidden_units': [16, 100]}"
11,5.414281229138963,"{'activations': ('sigmoid',), 'lr': 0.1, 'hidden_units': [100]}",4.185945813031135,"{'activations': ('sigmoid',), 'lr': 0.01, 'hidden_units': [100]}"
12,3.1536699256422978,"{'activations': ('relu', 'relu', 'relu', 'relu'), 'lr': 0.01, 'hidden_units': [400, 400, 400, 5]}",2.393413332796137,"{'activations': ('relu', 'relu', 'relu', 'relu'), 'lr': 0.01, 'hidden_units': [400, 400, 400, 5]}"
13,2.8552693864739602,"{'activations': ('relu', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.001, 'hidden_units': [300, 300, 300, 10]}",2.2798552401772354,"{'activations': ('relu', 'sigmoid', 'sigmoid', 'sigmoid'), 'lr': 0.001, 'hidden_units': [300, 300, 300, 10]}"
